Name,Weight Class,Record
Brendan Allen,Middleweight,21-5-0 (W-L-D)
Kamuela Kirk,Featherweight,12-5-0 (W-L-D)
Andre Muniz,Middleweight,23-5-0 (W-L-D)
Bo Nickal,Middleweight,3-0-0 (W-L-D)
Loik Radzhabov,Lightweight,0-0-0 (W-L-D)
Jalin Turner,Lightweight,13-5-0 (W-L-D)
Brendan Allen,Middleweight,20-5-0 (W-L-D)
Kamuela Kirk,Lightweight,12-5-0 (W-L-D)
Andre Muniz,Middleweight,23-4-0 (W-L-D)
Bo Nickal,Middleweight,2-0-0 (W-L-D)
Said Nurmagomedov,Bantamweight,17-2-0 (W-L-D)
Jalin Turner,Lightweight,14-5-0 (W-L-D)
